"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0027552","FBgn0028515","CG10863","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0033249","FBgn0003231","CG11191","ref(2)P","PPI: DPiM coAP complex","-.0607","-"
"FBgn0046296","FBgn0003231","CG11534","ref(2)P","PPI: DPiM coAP complex",".2919","-"
"FBgn0030540","FBgn0013305","CG11581","Nmda1","PPI: Curagen two-hybrid","-.3172",".417"
"FBgn0039265","FBgn0003660","CG11790","Syb","PPI: DPiM coAP complex",".4922","-"
"FBgn0036992","FBgn0003231","CG11796","ref(2)P","PPI: DPiM coAP complex","-.1509","-"
"FBgn0035421","FBgn0003660","CG12034","Syb","PPI: DPiM coAP complex",".302","-"
"FBgn0043458","FBgn0003231","CG12084","ref(2)P","PPI: DPiM coAP complex",".0926","-"
"FBgn0030039","FBgn0003231","CG12123","ref(2)P","PPI: DPiM coAP complex",".0351","-"
"FBgn0040371","FBgn0015797","CG12470","Rab6","PPI: Curagen two-hybrid","-.3738",".452"
"FBgn0033499","FBgn0003231","CG12914","ref(2)P","PPI: DPiM coAP complex",".0357","-"
"FBgn0035674","FBgn0015797","CG13295","Rab6","PPI: DPiM coAP complex","-.0898","-"
"FBgn0029522","FBgn0003231","CG13373","ref(2)P","PPI: DPiM coAP complex",".1274","-"
"FBgn0032039","FBgn0003231","CG13385","ref(2)P","PPI: DPiM coAP complex",".0216","-"
"FBgn0034833","FBgn0028515","CG13539","EndoGI","PPI: DPiM coAP complex","-.0553","-"
"FBgn0039592","FBgn0028515","CG14062","EndoGI","PPI: DPiM coAP complex",".431","-"
"FBgn0031037","FBgn0013305","CG14207","Nmda1","PPI: Curagen two-hybrid",".052",".444"
"FBgn0039503","FBgn0003231","CG14262","ref(2)P","PPI: DPiM coAP complex",".0292","-"
"FBgn0039413","FBgn0003231","CG14556","ref(2)P","PPI: DPiM coAP complex",".0106","-"
"FBgn0037488","FBgn0028546","CG14607","ics","PPI: Curagen two-hybrid",".0515",".36"
"FBgn0035518","FBgn0003231","CG15011","ref(2)P","PPI: DPiM coAP complex","-.2148","-"
"FBgn0034418","FBgn0003231","CG15118","ref(2)P","PPI: DPiM coAP complex",".0738","-"
"FBgn0030183","FBgn0003231","CG15309","ref(2)P","PPI: DPiM coAP complex",".3288","-"
"FBgn0031607","FBgn0001297","CG15440","kay","PPI: Curagen two-hybrid","-.374",".344"
"FBgn0031132","FBgn0003888","CG15450","betaTub60D","PPI: Curagen two-hybrid","-.0147",".216"
"FBgn0039748","FBgn0003231","CG15529","ref(2)P","PPI: DPiM coAP complex","-.0655","-"
"FBgn0030654","FBgn0003660","CG15643","Syb","PPI: DPiM coAP complex",".2986","-"
"FBgn0034651","FBgn0003888","CG15676","betaTub60D","PPI: Curagen two-hybrid","-.0172",".196"
"FBgn0034904","FBgn0003231","CG15800","ref(2)P","PPI: DPiM coAP complex",".0035","-"
"FBgn0032281","FBgn0028546","CG17107","ics","PPI: Curagen two-hybrid",".1783",".436"
"FBgn0038424","FBgn0003231","CG17565","ref(2)P","PPI: DPiM coAP complex",".1377","-"
"FBgn0040899","FBgn0003231","CG17776","ref(2)P","PPI: DPiM coAP complex","-.3726","-"
"FBgn0023534","FBgn0028515","CG17778","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028394","FBgn0003231","CG17834","ref(2)P","PPI: DPiM coAP complex",".3877","-"
"FBgn0028394","FBgn0003660","CG17834","Syb","PPI: DPiM coAP complex",".5092","-"
"FBgn0033610","FBgn0028515","CG18335","EndoGI","PPI: DPiM coAP complex","-.0291","-"
"FBgn0030060","FBgn0028515","CG2004","EndoGI","PPI: DPiM coAP complex","-.1012","-"
"FBgn0039667","FBgn0003231","CG2010","ref(2)P","PPI: DPiM coAP complex","-.1315","-"
"FBgn0037360","FBgn0003231","CG2182","ref(2)P","PPI: DPiM coAP complex",".0141","-"
"FBgn0037512","FBgn0003231","CG2616","ref(2)P","PPI: DPiM coAP complex",".0417","-"
"FBgn0034931","FBgn0003231","CG2812","ref(2)P","PPI: DPiM coAP complex","-.335","-"
"FBgn0034689","FBgn0015797","CG2921","Rab6","PPI: DPiM coAP complex","-.3502","-"
"FBgn0050195","FBgn0003231","CG30195","ref(2)P","PPI: DPiM coAP complex","-.0906","-"
"FBgn0050350","FBgn0003231","CG30350","ref(2)P","PPI: DPiM coAP complex",".0289","-"
"FBgn0050412","FBgn0003231","CG30412","ref(2)P","PPI: DPiM coAP complex",".0264","-"
"FBgn0050487","FBgn0003231","CG30487","ref(2)P","PPI: DPiM coAP complex",".0102","-"
"FBgn0050496","FBgn0003231","CG30496","ref(2)P","PPI: DPiM coAP complex",".0834","-"
"FBgn0029608","FBgn0003231","CG3091","ref(2)P","PPI: DPiM coAP complex",".3014","-"
"FBgn0051051","FBgn0003660","CG31051","Syb","PPI: DPiM coAP complex",".1263","-"
"FBgn0051546","FBgn0003231","CG31546","ref(2)P","PPI: DPiM coAP complex",".0232","-"
"FBgn0051550","FBgn0013305","CG31550","Nmda1","PPI: Curagen two-hybrid",".2149",".246"
"FBgn0051835","FBgn0003231","CG31835","ref(2)P","PPI: DPiM coAP complex","-.2213","-"
"FBgn0052549","FBgn0003231","CG32549","ref(2)P","PPI: DPiM coAP complex",".3798","-"
"FBgn0029750","FBgn0028552","CG3323","gammaSnap1","PPI: Curagen two-hybrid","-.0315",".391"
"FBgn0053523","FBgn0027569","CG33523","cert","PPI: DPiM coAP complex","-.0521","-"
"FBgn0033117","FBgn0003231","CG3358","ref(2)P","PPI: DPiM coAP complex","-.113","-"
"FBgn0052831","FBgn0003231","CG33695","ref(2)P","PPI: DPiM coAP complex",".1114","-"
"FBgn0053970","FBgn0003231","CG33970","ref(2)P","PPI: Curagen two-hybrid",".006",".469"
"FBgn0040355","FBgn0003231","CG3526","ref(2)P","PPI: DPiM coAP complex",".0916","-"
"FBgn0035034","FBgn0003231","CG3565","ref(2)P","PPI: DPiM coAP complex",".013","-"
"FBgn0028507","FBgn0015797","CG3793","Rab6","PPI: DPiM coAP complex","-.0853","-"
"FBgn0040396","FBgn0030796","CG3939","CG4829","PPI: Curagen two-hybrid","-.302",".424"
"FBgn0028506","FBgn0003660","CG4455","Syb","PPI: DPiM coAP complex",".4607","-"
"FBgn0038358","FBgn0003231","CG4525","ref(2)P","PPI: DPiM coAP complex","-.3276","-"
"FBgn0285962","FBgn0003231","CG46338","ref(2)P","PPI: DPiM coAP complex","-.0646","-"
"FBgn0036579","FBgn0002524","CG5027","lace","PPI: DPiM coAP complex",".0448","-"
"FBgn0038039","FBgn0003231","CG5196","ref(2)P","PPI: DPiM coAP complex",".0064","-"
"FBgn0030578","FBgn0003231","CG5347","ref(2)P","PPI: DPiM coAP complex",".0471","-"
"FBgn0039380","FBgn0027569","CG5890","cert","PPI: Curagen two-hybrid",".0672",".455"
"FBgn0038056","FBgn0003231","CG5961","ref(2)P","PPI: DPiM coAP complex","-.2119","-"
"FBgn0038407","FBgn0002524","CG6126","lace","PPI: Curagen two-hybrid",".011",".141"
"FBgn0032445","FBgn0003231","CG6153","ref(2)P","PPI: DPiM coAP complex",".2267","-"
"FBgn0035914","FBgn0003660","CG6282","Syb","PPI: DPiM coAP complex","-.4912","-"
"FBgn0036117","FBgn0028515","CG6321","EndoGI","PPI: DPiM coAP complex","-.1875","-"
"FBgn0039069","FBgn0028552","CG6763","gammaSnap1","PPI: Curagen two-hybrid","-.0487",".408"
"FBgn0029733","FBgn0003231","CG6927","ref(2)P","PPI: DPiM coAP complex",".062","-"
"FBgn0038586","FBgn0003231","CG7168","ref(2)P","PPI: DPiM coAP complex",".1129","-"
"FBgn0036519","FBgn0028515","CG7650","EndoGI","PPI: DPiM coAP complex","-.3859","-"
"FBgn0036689","FBgn0003231","CG7730","ref(2)P","PPI: DPiM coAP complex",".226","-"
"FBgn0033375","FBgn0003231","CG8078","ref(2)P","PPI: DPiM coAP complex","-.3649","-"
"FBgn0034057","FBgn0003231","CG8314","ref(2)P","PPI: DPiM coAP complex",".1644","-"
"FBgn0033918","FBgn0003231","CG8531","ref(2)P","PPI: DPiM coAP complex","-.2044","-"
"FBgn0035315","FBgn0003231","CG8960","ref(2)P","PPI: DPiM coAP complex",".0493","-"
"FBgn0035218","FBgn0028546","CG9173","ics","PPI: Curagen two-hybrid","-.373",".383"
"FBgn0036887","FBgn0015797","CG9231","Rab6","PPI: DPiM coAP complex","-.2945","-"
"FBgn0039589","FBgn0002524","CG9986","lace","PPI: Curagen two-hybrid",".2802",".507"
"FBgn0026084","FBgn0028515","cib","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0000316","FBgn0015797","cin","Rab6","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0000259","FBgn0019890","CkIIbeta","Smg5","PPI: DPiM coAP complex",".0972","-"
"FBgn0015621","FBgn0028546","Clp","ics","PPI: Curagen two-hybrid","-.0808",".398"
"FBgn0000352","FBgn0000489","cos","Pka-C3","PPI: Hybrigenics two-hybrid","-.3974",".249"
"FBgn0037493","FBgn0030796","CR10032","CG4829","PPI: Curagen two-hybrid",".2323",".401"
"FBgn0025456","FBgn0025456","CREG","CREG","PPI: Flybase Curated PPI","-","-"
"FBgn0025456","FBgn0030608","CREG","Lsd-2","PPI: From other databases","-","-"
"FBgn0025456","FBgn0027084","CREG","LysRS","PPI: DPiM coAP complex","-.3256","-"
"FBgn0025456","FBgn0259978","CREG","vlc","PPI: Curagen two-hybrid","-.2045",".422"
"FBgn0004179","FBgn0003231","Csp","ref(2)P","PPI: DPiM coAP complex",".0567","-"
"FBgn0000382","FBgn0027594","csw","drpr","PPI: Flybase Curated PPI","-","-"
"FBgn0011760","FBgn0003231","ctp","ref(2)P","PPI: Curagen two-hybrid",".2923",".451"
"FBgn0000404","FBgn0003231","CycA","ref(2)P","PPI: DPiM coAP complex","-.0029","-"
"FBgn0015036","FBgn0015797","Cyp4ae1","Rab6","PPI: Flybase Curated PPI|PPI: From other databases","-.35","-"
"FBgn0030304","FBgn0015797","Cyp4g15","Rab6","PPI: DPiM coAP complex","-.4403","-"
"FBgn0038037","FBgn0015797","Cyp9f2","Rab6","PPI: DPiM coAP complex","-.2069","-"
"FBgn0000412","FBgn0028515","D1","EndoGI","PPI: DPiM coAP complex",".2061","-"
"FBgn0001108","FBgn0003888","DCTN1-p150","betaTub60D","PPI: Flybase Curated PPI","-","-"
"FBgn0086446","FBgn0003888","DCTN6-p27","betaTub60D","PPI: Curagen two-hybrid",".2325",".291"
"FBgn0015247","FBgn0028515","Diap2","EndoGI","PPI: DPiM coAP complex","-.3265","-"
"FBgn0011274","FBgn0015618","Dif","Cdk8","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0011274","FBgn0011274","Dif","Dif","PPI: From other databases","1","-"
"FBgn0011274","FBgn0260632","Dif","dl","PPI: From other databases","-","-"
"FBgn0011274","FBgn0026207","Dif","mbo","PPI: From other databases","-.096","-"
"FBgn0011274","FBgn0038578","Dif","MED17","PPI: Flybase Curated PPI|PPI: From other databases","-.1599",".321"
"FBgn0011274","FBgn0040020","Dif","MED21","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0011274","FBgn0037262","Dif","MED31","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0011274","FBgn0014018","Dif","Rel","PPI: Flybase Curated PPI|PPI: From other databases",".1191","-"
"FBgn0023091","FBgn0013305","dimm","Nmda1","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1806",".389"
"FBgn0260866","FBgn0003660","dnr1","Syb","PPI: DPiM coAP complex","-.1354","-"
"FBgn0037908","FBgn0003231","dpr5","ref(2)P","PPI: DPiM coAP complex","-.2369","-"
"FBgn0033791","FBgn0003231","Drl-2","ref(2)P","PPI: DPiM coAP complex","-.2827","-"
"FBgn0027594","FBgn0029092","drpr","ced-6","PPI: Flybase Curated PPI|PPI: From other databases",".2298","-"
"FBgn0027594","FBgn0263391","drpr","hts","PPI: Curagen two-hybrid","-.0016",".426"
"FBgn0027594","FBgn0030329","drpr","prtp","PPI: Flybase Curated PPI|PPI: From other databases",".4778","-"
"FBgn0002609","FBgn0031359","E(spl)m3-HLH","Rim2","PPI: Curagen two-hybrid","-.2577",".382"
"FBgn0000618","FBgn0028552","e(y)2","gammaSnap1","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0260634","FBgn0013305","eIF4G2","Nmda1","PPI: Curagen two-hybrid",".6639",".406"
"FBgn0004910","FBgn0010015","Eip63F-1","CanA1","PPI: Curagen two-hybrid",".2347",".363"
"FBgn0004910","FBgn0032979","Eip63F-1","Clamp","PPI: Curagen two-hybrid","-.3958",".428"
"FBgn0004910","FBgn0011826","Eip63F-1","Pp2B-14D","PPI: Curagen two-hybrid","-.1204",".369"
"FBgn0004910","FBgn0039900","Eip63F-1","Syt7","PPI: Curagen two-hybrid",".45",".445"
"FBgn0028515","FBgn0261458","EndoGI","capt","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0036290","EndoGI","CG10638","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0037930","EndoGI","CG14715","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0034753","EndoGI","CG2852","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0031459","EndoGI","CG2862","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0034345","EndoGI","CG5174","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0086254","EndoGI","CG6084","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0036056","EndoGI","CG6709","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0033690","EndoGI","EndoG","PPI: Flybase Curated PPI|PPI: DPiM coAP complex","-","-"
"FBgn0028515","FBgn0037913","EndoGI","fabp","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0260049","EndoGI","flr","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0039099","EndoGI","GILT2","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0283450","EndoGI","Glo1","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0035904","EndoGI","GstO3","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0034520","EndoGI","lms","PPI: Flybase Curated PPI","-","-"
"FBgn0028515","FBgn0262559","EndoGI","Mdh2","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0086904","EndoGI","Nacalpha","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0035438","EndoGI","PHGPx","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0033518","EndoGI","Prx2540-2","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0030362","EndoGI","regucalcin","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0263260","EndoGI","sel","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0035772","EndoGI","Sh3beta","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028515","FBgn0040064","EndoGI","yip2","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0000579","FBgn0028515","Eno","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0013953","FBgn0003660","Esp","Syb","PPI: DPiM coAP complex",".2879","-"
"FBgn0005632","FBgn0015797","faf","Rab6","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0000635","FBgn0001987","Fas2","Gli","PPI: From other databases","-","-"
"FBgn0015221","FBgn0027569","Fer2LCH","cert","PPI: From other databases","-","-"
"FBgn0010470","FBgn0028515","Fkbp14","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0000659","FBgn0037555","fkh","Ada2b","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0000659","FBgn0010379","fkh","Akt1","PPI: Flybase Curated PPI","-","-"
"FBgn0000659","FBgn0014427","fkh","CG11899","PPI: Curagen two-hybrid","-.371",".392"
"FBgn0000659","FBgn0039748","fkh","CG15529","PPI: Curagen two-hybrid","-.2506",".413"
"FBgn0000659","FBgn0036311","fkh","CG17666","PPI: Curagen two-hybrid","-.2197",".422"
"FBgn0000659","FBgn0085197","fkh","CG34168","PPI: Curagen two-hybrid","-.2804","-"
"FBgn0000659","FBgn0039955","fkh","CG41099","PPI: Curagen two-hybrid",".1343",".498"
"FBgn0000659","FBgn0031089","fkh","CG9572","PPI: Curagen two-hybrid","-.3164",".412"
"FBgn0000659","FBgn0000259","fkh","CkIIbeta","PPI: Curagen two-hybrid",".0598",".328"
"FBgn0000659","FBgn0037493","fkh","CR10032","PPI: Curagen two-hybrid","-.1014",".402"
"FBgn0000659","FBgn0004172","fkh","Mst84Da","PPI: Curagen two-hybrid","-.2284",".421"
"FBgn0000659","FBgn0004174","fkh","Mst84Dc","PPI: Curagen two-hybrid","-.2273",".412"
"FBgn0000659","FBgn0002891","fkh","mus205","PPI: Curagen two-hybrid","-.0774",".345"
"FBgn0000659","FBgn0034259","fkh","P32","PPI: Curagen two-hybrid","-.0603",".409"
"FBgn0000659","FBgn0035876","fkh","Pex2","PPI: Curagen two-hybrid",".2858",".36"
"FBgn0000659","FBgn0029157","fkh","ssh","PPI: Curagen two-hybrid","-.1501",".395"
"FBgn0000659","FBgn0021796","fkh","Tor","PPI: Flybase Curated PPI","-","-"
"FBgn0024236","FBgn0028552","foi","gammaSnap1","PPI: Curagen two-hybrid","-.1587",".399"
"FBgn0001079","FBgn0001987","fu","Gli","PPI: Hybrigenics two-hybrid","-.0323",".385"
"FBgn0004516","FBgn0003231","Gad1","ref(2)P","PPI: DPiM coAP complex","-.1593","-"
"FBgn0028552","FBgn0015331","gammaSnap1","abs","PPI: DPiM coAP complex",".1637","-"
"FBgn0028552","FBgn0250791","gammaSnap1","alphaSnap","PPI: DPiM coAP complex",".6215","-"
"FBgn0028552","FBgn0260857","gammaSnap1","Bet1","PPI: Flybase Curated PPI|PPI: From other databases",".0328","-"
"FBgn0028552","FBgn0033538","gammaSnap1","CG11883","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028552","FBgn0037383","gammaSnap1","CG2023","PPI: DPiM coAP complex",".0376","-"
"FBgn0028552","FBgn0033205","gammaSnap1","CG2064","PPI: DPiM coAP complex",".0955","-"
"FBgn0028552","FBgn0014141","gammaSnap1","cher","PPI: Curagen two-hybrid","-.1612",".383"
"FBgn0028552","FBgn0028552","gammaSnap1","gammaSnap1","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028552","FBgn0266721","gammaSnap1","gammaSnap2","PPI: Flybase Curated PPI|PPI: From other databases",".4886","-"
"FBgn0028552","FBgn0044871","gammaSnap1","Gos28","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028552","FBgn0264816","gammaSnap1","koko","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028552","FBgn0086444","gammaSnap1","l(2)37Cb","PPI: DPiM coAP complex",".2728","-"
"FBgn0028552","FBgn0260856","gammaSnap1","Membrin","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028552","FBgn0266464","gammaSnap1","Nsf2","PPI: Flybase Curated PPI|PPI: From other databases",".104","-"
"FBgn0028552","FBgn0260855","gammaSnap1","Sec22","PPI: DPiM coAP complex","-.1979","-"
"FBgn0028552","FBgn0264978","gammaSnap1","Slh","PPI: Flybase Curated PPI|PPI: From other databases","-.03","-"
"FBgn0028552","FBgn0266720","gammaSnap1","Snap24","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028552","FBgn0034913","gammaSnap1","Snap29","PPI: Flybase Curated PPI|PPI: DPiM coAP complex|PPI: From other databases",".1814","-"
"FBgn0028552","FBgn0286203","gammaSnap1","stw","PPI: From other databases","-","-"
"FBgn0028552","FBgn0036341","gammaSnap1","Syx13","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028552","FBgn0031106","gammaSnap1","Syx16","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028552","FBgn0039212","gammaSnap1","Syx18","PPI: DPiM coAP complex",".0941","-"
"FBgn0028552","FBgn0013343","gammaSnap1","Syx1A","PPI: DPiM coAP complex",".3937","-"
"FBgn0028552","FBgn0011708","gammaSnap1","Syx5","PPI: DPiM coAP complex","-.116","-"
"FBgn0028552","FBgn0267849","gammaSnap1","Syx7","PPI: Flybase Curated PPI|PPI: From other databases",".2039","-"
"FBgn0028552","FBgn0036643","gammaSnap1","Syx8","PPI: Flybase Curated PPI|PPI: From other databases",".2144",".383"
"FBgn0028552","FBgn0035965","gammaSnap1","Use1","PPI: DPiM coAP complex",".0448","-"
"FBgn0028552","FBgn0266186","gammaSnap1","Vamp7","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028552","FBgn0260858","gammaSnap1","Ykt6","PPI: DPiM coAP complex",".2505","-"
"FBgn0004868","FBgn0028515","Gdi","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0004868","FBgn0015794","Gdi","Rab18","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0004868","FBgn0015797","Gdi","Rab6","PPI: Flybase Curated PPI|PPI: From other databases",".4852",".562"
"FBgn0001987","FBgn0012037","Gli","Ance","PPI: From other databases","-","-"
"FBgn0001987","FBgn0086757","Gli","cbs","PPI: From other databases","-","-"
"FBgn0001987","FBgn0263353","Gli","CG11000","PPI: From other databases","-","-"
